Problem:    TP
Rows:       3934
Columns:    5544 (5544 integer, 5544 binary)
Non-zeros:  19628
Status:     INTEGER OPTIMAL
Objective:  fo = 53 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 fo                         53                             
     2 R1[1,1]                     0                           1 
     3 R1[1,2]                     0                           1 
     4 R1[1,3]                     0                           1 
     5 R1[1,4]                     1                           1 
     6 R1[1,5]                     0                           1 
     7 R1[1,6]                     0                           1 
     8 R1[1,7]                     0                           1 
     9 R1[1,8]                     0                           1 
    10 R1[1,9]                     0                           1 
    11 R1[1,10]                    0                           1 
    12 R1[1,11]                    0                           1 
    13 R1[1,12]                    1                           1 
    14 R1[1,13]                    0                           1 
    15 R1[1,14]                    0                           1 
    16 R1[1,15]                    0                           1 
    17 R1[1,16]                    0                           1 
    18 R1[1,17]                    0                           1 
    19 R1[1,18]                    0                           1 
    20 R1[1,19]                    0                           1 
    21 R1[1,20]                    0                           1 
    22 R1[2,1]                     1                           1 
    23 R1[2,2]                     0                           1 
    24 R1[2,3]                     0                           1 
    25 R1[2,4]                     0                           1 
    26 R1[2,5]                     0                           1 
    27 R1[2,6]                     0                           1 
    28 R1[2,7]                     0                           1 
    29 R1[2,8]                     0                           1 
    30 R1[2,9]                     1                           1 
    31 R1[2,10]                    0                           1 
    32 R1[2,11]                    0                           1 
    33 R1[2,12]                    0                           1 
    34 R1[2,13]                    0                           1 
    35 R1[2,14]                    0                           1 
    36 R1[2,15]                    0                           1 
    37 R1[2,16]                    0                           1 
    38 R1[2,17]                    0                           1 
    39 R1[2,18]                    0                           1 
    40 R1[2,19]                    0                           1 
    41 R1[2,20]                    0                           1 
    42 R1[3,1]                     0                           1 
    43 R1[3,2]                     0                           1 
    44 R1[3,3]                     0                           1 
    45 R1[3,4]                     0                           1 
    46 R1[3,5]                     0                           1 
    47 R1[3,6]                     0                           1 
    48 R1[3,7]                     1                           1 
    49 R1[3,8]                     0                           1 
    50 R1[3,9]                     0                           1 
    51 R1[3,10]                    0                           1 
    52 R1[3,11]                    0                           1 
    53 R1[3,12]                    1                           1 
    54 R1[3,13]                    0                           1 
    55 R1[3,14]                    0                           1 
    56 R1[3,15]                    0                           1 
    57 R1[3,16]                    1                           1 
    58 R1[3,17]                    0                           1 
    59 R1[3,18]                    0                           1 
    60 R1[3,19]                    0                           1 
    61 R1[3,20]                    1                           1 
    62 R1[4,1]                     1                           1 
    63 R1[4,2]                     0                           1 
    64 R1[4,3]                     0                           1 
    65 R1[4,4]                     0                           1 
    66 R1[4,5]                     0                           1 
    67 R1[4,6]                     0                           1 
    68 R1[4,7]                     0                           1 
    69 R1[4,8]                     0                           1 
    70 R1[4,9]                     1                           1 
    71 R1[4,10]                    1                           1 
    72 R1[4,11]                    0                           1 
    73 R1[4,12]                    0                           1 
    74 R1[4,13]                    0                           1 
    75 R1[4,14]                    0                           1 
    76 R1[4,15]                    0                           1 
    77 R1[4,16]                    0                           1 
    78 R1[4,17]                    1                           1 
    79 R1[4,18]                    0                           1 
    80 R1[4,19]                    0                           1 
    81 R1[4,20]                    0                           1 
    82 R1[5,1]                     0                           1 
    83 R1[5,2]                     0                           1 
    84 R1[5,3]                     1                           1 
    85 R1[5,4]                     0                           1 
    86 R1[5,5]                     0                           1 
    87 R1[5,6]                     0                           1 
    88 R1[5,7]                     0                           1 
    89 R1[5,8]                     0                           1 
    90 R1[5,9]                     0                           1 
    91 R1[5,10]                    0                           1 
    92 R1[5,11]                    0                           1 
    93 R1[5,12]                    0                           1 
    94 R1[5,13]                    0                           1 
    95 R1[5,14]                    0                           1 
    96 R1[5,15]                    0                           1 
    97 R1[5,16]                    0                           1 
    98 R1[5,17]                    0                           1 
    99 R1[5,18]                    0                           1 
   100 R1[5,19]                    1                           1 
   101 R1[5,20]                    0                           1 
   102 R1[6,1]                     0                           1 
   103 R1[6,2]                     0                           1 
   104 R1[6,3]                     0                           1 
   105 R1[6,4]                     0                           1 
   106 R1[6,5]                     1                           1 
   107 R1[6,6]                     1                           1 
   108 R1[6,7]                     0                           1 
   109 R1[6,8]                     0                           1 
   110 R1[6,9]                     0                           1 
   111 R1[6,10]                    0                           1 
   112 R1[6,11]                    0                           1 
   113 R1[6,12]                    0                           1 
   114 R1[6,13]                    1                           1 
   115 R1[6,14]                    1                           1 
   116 R1[6,15]                    0                           1 
   117 R1[6,16]                    0                           1 
   118 R1[6,17]                    0                           1 
   119 R1[6,18]                    0                           1 
   120 R1[6,19]                    0                           1 
   121 R1[6,20]                    0                           1 
   122 R1[7,1]                     0                           1 
   123 R1[7,2]                     0                           1 
   124 R1[7,3]                     0                           1 
   125 R1[7,4]                     1                           1 
   126 R1[7,5]                     0                           1 
   127 R1[7,6]                     0                           1 
   128 R1[7,7]                     0                           1 
   129 R1[7,8]                     0                           1 
   130 R1[7,9]                     0                           1 
   131 R1[7,10]                    0                           1 
   132 R1[7,11]                    0                           1 
   133 R1[7,12]                    1                           1 
   134 R1[7,13]                    0                           1 
   135 R1[7,14]                    0                           1 
   136 R1[7,15]                    0                           1 
   137 R1[7,16]                    0                           1 
   138 R1[7,17]                    0                           1 
   139 R1[7,18]                    0                           1 
   140 R1[7,19]                    0                           1 
   141 R1[7,20]                    0                           1 
   142 R1[8,1]                     0                           1 
   143 R1[8,2]                     1                           1 
   144 R1[8,3]                     0                           1 
   145 R1[8,4]                     0                           1 
   146 R1[8,5]                     0                           1 
   147 R1[8,6]                     0                           1 
   148 R1[8,7]                     0                           1 
   149 R1[8,8]                     0                           1 
   150 R1[8,9]                     1                           1 
   151 R1[8,10]                    1                           1 
   152 R1[8,11]                    0                           1 
   153 R1[8,12]                    0                           1 
   154 R1[8,13]                    0                           1 
   155 R1[8,14]                    0                           1 
   156 R1[8,15]                    0                           1 
   157 R1[8,16]                    0                           1 
   158 R1[8,17]                    1                           1 
